Profession,Year,No. of Emigrants
Draftsman,1986,27
Draftsman,1987,31
Draftsman,1988,37
Draftsman,1989,45
Draftsman,1990,53
Draftsman,1991,67
Draftsman,1992,90
Draftsman,1993,72
Draftsman,1994,52
Draftsman,1995,55
Draftsman,1996,56
Draftsman,1997,70
Draftsman,1998,47
Draftsman,1999,37
Draftsman,2000,50
Draftsman,2001,60
Draftsman,2002,69
Draftsman,2003,100
Draftsman,2004,81
Draftsman,2005,67
Draftsman,2006,86
Draftsman,2007,134
Draftsman,2008,202
Draftsman,2009,189
Draftsman,2010,170
Draftsman,2011,207
Draftsman,2012,426
Draftsman,2013,389
Draftsman,2014,739
Draftsman,2015,2259
Draftsman,2016,3494
Draftsman,2017,1707
Draftsman,2018,875
Draftsman,2019,1100
Draftsman,2020,125
Draftsman,2021,576
Draftsman,2022,1558
Draftsman,2023,71
Driver,1981,13941
Driver,1982,12525
Driver,1983,10931
Driver,1984,8518
Driver,1985,7498
Driver,1986,5282
Driver,1987,6027
Driver,1988,7426
Driver,1989,8730
Driver,1990,10361
Driver,1991,13005
Driver,1992,17440
Driver,1993,14073
Driver,1994,10102
Driver,1995,10659
Driver,1996,10894
Driver,1997,13572
Driver,1998,9171
Driver,1999,7112
Driver,2000,9811
Driver,2001,11650
Driver,2002,13425
Driver,2003,19492
Driver,2004,15830
Driver,2005,12944
Driver,2006,16683
Driver,2007,26139
Driver,2008,39188
Driver,2009,36748
Driver,2010,33049
Driver,2011,48188
Driver,2012,86568
Driver,2013,72610
Driver,2014,85794
Driver,2015,141316
Driver,2016,106296
Driver,2017,53588
Driver,2018,52868
Driver,2019,182932
Driver,2020,76531
Driver,2021,87884
Driver,2022,232120
Driver,2023,42960
Electrician,1981,5366
Electrician,1982,4821
Electrician,1983,4208
Electrician,1984,3279
Electrician,1985,2886
Electrician,1986,2033
Electrician,1987,2320
Electrician,1988,2859
Electrician,1989,3361
Electrician,1990,3989
Electrician,1991,5007
Electrician,1992,6713
Electrician,1993,5417
Electrician,1994,3889
Electrician,1995,4103
Electrician,1996,4194
Electrician,1997,5224
Electrician,1998,3530
Electrician,1999,2738
Electrician,2000,3777
Electrician,2001,4485
Electrician,2002,5168
Electrician,2003,7503
