Origin Country,Origin Country Latitude,Origin Country Longitude,Destination Region,Destination Country,Dest. Country Latitude,Dest. Country Longitude,Year,No. of Emigrants
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1998,1779
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1999,1380
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2000,1903
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2001,2260
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2002,2605
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2003,3782
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2004,3071
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2005,2511
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2006,3237
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2007,5071
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2008,7603
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2009,7129
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2010,6412
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2011,10641
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2012,10530
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2013,9600
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2014,9226
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2015,9029
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2016,8226
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2017,7919
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2018,5745
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2019,8189
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2020,7843
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2021,12977
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2022,13653
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,2023,3351
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1981,29
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1982,26
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1983,22
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1984,17
Pakistan,30.375321,69.345116,Southeast Asia,Brunei,4.535277,114.727669,1985,15
